i	arc	where	status	verdict	note	quote
1540	B447_thermo_d2_mscan	FINDINGS.md	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 5)	the box estimator cannot support an exceptionality claim
1541	B447_thermo_d2_mscan	FINDINGS.md	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 5)	No golden D₀ exceptionality survives at achievable resolution.
1542	B447_thermo_d2_mscan	FINDINGS.md	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 5)	a converged m-scan of D₀ needs an adaptive recursive band-edge tracker — named follow-up, not built here
1543	B448_heartbeat_adjudication	FINDINGS.md	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 5)	√5 appears at NO period ≤ 7 — the golden field is dynamically absent from the hyperbolic-end orbit tower
1545	B448_heartbeat_adjudication	FINDINGS.md, describing silver's double-beat	UNSWEEPABLE	CONSISTENT	unsweepable; no later arc claims Q(sqrt-7) for silver	No ℚ(√−7).
1546	B449_forcing_boundary	FINDINGS.md item 1	UNSWEEPABLE	STANDS	true independently: 5_2 has Alexander polynomial 2t^2-3t+2, non-monic, hence not fibered	5₂ is not fibered.
1547	B449_forcing_boundary	FINDINGS.md item 1	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 5)	No fibration ⇒ no monodromy ⇒ no dynamics end ⇒ the formula's second factor names *nothing* for 5₂.
1548	B449_forcing_boundary	FINDINGS.md item 1	LEAD	CONSISTENT	B1048 restates	"""Level 161"" is not a failed prediction; it is a non-sequitur."
1549	B451_thermo_d4_resonances	FINDINGS.md status line	LEAD	CONSISTENT		The subleading spectrum did not stabilize within the session budget
1550	B451_thermo_d4_resonances	FINDINGS.md Addendum	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 5)	no whitelist form suggests itself at this precision — recorded, not scanned
1551	B453_ethogram_e1_reproduction	FINDINGS.md E1b	LEAD	NOISE	a computed positive (one subgroup of index <= 6), not an absence claim	The child's π₁ has exactly ONE proper subgroup of index ≤ 6
1554	B454_ethogram_e2_closure	FINDINGS.md	LEAD	CONSISTENT		the word channel cannot leave its birth arithmetic
1555	B454_ethogram_e2_closure	FINDINGS.md status line	LEAD	CONSISTENT		the reason is class-generic
1556	B455_ethogram_e3_response	FINDINGS.md item 3	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 5)	No float64 representation runs this continuation
1557	B455_ethogram_e3_response	FINDINGS.md homeostasis section	LEAD	CONSISTENT		No restoring response exists (conservative dynamics, no transverse attractor)
1558	B455_ethogram_e3_response	FINDINGS.md homeostasis section	LEAD	CONSISTENT		the organism has no homeostasis because it has no dissipation
1561	B457_ethogram_ez_verdict	FINDINGS.md EZ-2 line	LEAD	CONSISTENT		No correspondence with the frozen 20-observable registry beyond chance
1562	B457_ethogram_ez_verdict	FINDINGS.md structural predicates line	UNSWEEPABLE	CONSISTENT		no {8,3,1}, no definite CP
1563	B457_ethogram_ez_verdict	FINDINGS.md status line	UNSWEEPABLE	CONSISTENT		NO H1.
1565	B458_ethogram_e5_component_cs	FINDINGS.md verdict	LEAD	CONSISTENT		there is no internal asymmetry to decompose
1568	B459_klein_four_verification	FINDINGS.md	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 5)	no partial-vanishing configurations exist
1569	B459_klein_four_verification	ADDENDUM.md Correction 2	LEAD	CONSISTENT		The third — {√5,√−3}-forbidden ⟺ ... NEVER occurs
1570	B460_relation_r1_child	FINDINGS.md Adjudication	LEAD	CONSISTENT		no novelty claimed until swept
1573	B461_relation_r2_borromean	FINDINGS.md, Addendum	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 5)	Field recognition at the isolated points FAILED at this precision (1e-12 Newton cannot support degree-10 PSLQ)
1574	B461_relation_r2_borromean	FINDINGS.md, verdict summary / arc_verdict.json claim_one_line	LEAD	CONSISTENT		no Brunnian-specific manifold invariant emerged
1575	B462_relation_r3_double	FINDINGS.md, header and Verdict section	UNSWEEPABLE	CONSISTENT		no H1
1577	B463_relation_r4_centralizer	centralizer.py print statement / FINDINGS.md	LEAD	CONSISTENT		the group centralizer is FINITE (Kostant: = Z(E6), Z/3 simply-connected / trivial adjoint - LIT-GATE citation, not computed)
1578	B464_relation_verdict	FINDINGS.md	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 5)	No relational invariant escaped class-laundering.
1581	B465_monodromy_intake	FINDINGS.md, 'The claims that did not survive' section	LEAD	CONSISTENT		C5 (32 loops...) and C7 (dark points...): floating-point, constructions not shared.
1582	B466_sigma_equivariant	FINDINGS.md	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 5)	the hoped-for 'physics lives where the static geometry meets the dynamic monodromy': the geometric point is NOT on the fixed line
1583	B466_sigma_equivariant	FINDINGS.md	LEAD	CONSISTENT		W1/W2 do NOT descend individually -- they are swapped by the deck symmetry
1584	B467_family_residue_wall	FINDINGS.md, F1 section	LEAD	CONSISTENT		886 prereg'd expressions ... ZERO hits on every target
1585	B467_family_residue_wall	FINDINGS.md, F1 section	LEAD	CONSISTENT		The metallic eigenvalue ratios do not encode CKM parameters at this complexity budget; the negative is earned, not assumed
1587	B468_z3_adjudication	FINDINGS.md, part 2 (re: the A4/neutrino downstream reading)	LEAD	GENERIC		loses its empirical base entirely
1588	B469_breath_campaign	PHASE2A_RESULTS.md, point 5 (P5)	LEAD	CONSISTENT		The similarity argument for finer structures is retracted
1590	B469_breath_campaign	FINDINGS.md, BR3 wave 2 section (re: the octic geometric-fiber identification)	LEAD	CONSISTENT		Numerically certified; exact certification queued.
1591	B470_reflection_campaign	FINDINGS.md, RF5 section	LEAD	CONSISTENT	B773 OI-146-fix is a different algorithm, not a high-precision Dirichlet domain	for n>=5 (word length >= 13) SnapPy's Dirichlet construction fails at default precision -- the tower's systole/CS beyond n=4 needs verified/high-precision geometry, priced as the next step (not a result claimed here)
1593	B470_reflection_campaign	FINDINGS.md, Addendum	LEAD	CONSISTENT		PSLQ negative against {Lambda(pi/5), Lambda(2pi/5), Lambda(pi/3), Lambda(pi/10), Lambda(3pi/10), Catalan, pi log phi, pi^2/10}
1594	B471_chain_verification	FINDINGS.md, heredity conjecture section	LEAD	SUPERSEDED	B775 cell P2W5-HERED runs the named follow-up: rank-of-apparition (Lucas) machinery does NOT apply (the wall stands, the follow-up is executed)	the general lattice is IRREGULAR ... Recorded as the observed table; a clean law needs rank-of-apparition machinery (Lucas-style) -- named follow-up, not a conjecture bank.
1595	B471_chain_verification	FINDINGS.md, final CORRECTIONS section	LEAD	CONSISTENT		'The alphabet is exactly the root locus' is FALSE in two escalating ways
1596	B499_wild_census	B499_wild_census/FINDINGS.md	LEAD	CONSISTENT	B837/B840 restate the never-executed census; no later execution found on main	The directory holds a preregistration and nothing else — no scripts, no data, no partial results.
1597	B499_wild_census	B499_wild_census/FINDINGS.md	LEAD	CONSISTENT	B837/B840 restate the never-executed census; no later execution found on main	the census (W1 Galois groups · W2 discriminant structure · W3 verb attribution · W4 MFD saturation · W5 field-level ramification) was committed and never executed.
1598	B499_wild_census	B499_wild_census/FINDINGS.md	LEAD	CONSISTENT	B837/B840 restate the never-executed census; no later execution found on main	B837's audit found it cited by B500 with no result stated anywhere, which is now confirmed directly: there is nothing to state.
1599	B500_child_hunt	frontier/B500_child_hunt/FINDINGS.md	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 5)	the run was killed mid-stream; there is no `HUNT COMPLETE` line
1600	B500_child_hunt	frontier/B500_child_hunt/FINDINGS.md	LEAD	SUPERSEDED	B986 reopened B500 (the method killed by its own control; 26 timeouts still unchecked) and B8153 ran the nine never-reached words (hunt_d5_finish.py on the structure-genesis head)	35 words remain UNCHECKED (26 timeouts + 9 never-reached — the D/M-heavy tail whose resultant eliminants blow up to degree ~3000–9280, beyond in-sandbox `gp`)
1601	B505_quasicrystal_anchor	PROGRESS_LOG.md, cited at log_index/B507.txt (entry dated 2026-08-01)	LEAD	CONSISTENT		B505 and B507 carry NO scripts and are not load-bearing.
1602	B507_beta_function	PROGRESS_LOG.md 2026-08-01 entry (log_index/B507.txt)	LEAD	CONSISTENT		B505 and B507 carry NO scripts and are not load-bearing.
1604	B511_physics_verdict	cross-reference to B500, cited inside B511's D-door framing of the wild census	LEAD	SUPERSEDED	B986 reopened B500 (the method killed by its own control; 26 timeouts still unchecked) and B8153 ran the nine never-reached words (hunt_d5_finish.py on the structure-genesis head)	the run was killed mid-stream; there is no `HUNT COMPLETE` line
1605	B511_physics_verdict	frontier/B511_physics_verdict/D1_ADVERSARIAL_REVIEW.md	LEAD	CONSISTENT		No standard 3d Rauzy fractal exists.
1607	B517_bootstrap_forcing	frontier/B511_physics_verdict/D1_ADVERSARIAL_REVIEW.md (the retracted claim this arc corrects)	LEAD	NOISE	the quote is the claim B517 D1 review retracts, not a standing absence	no primitive 4×4 nonneg matrix has Perron eigenvalue φ
1610	B517_bootstrap_forcing	frontier/B517_bootstrap_forcing/SIGNATURE_HUNT.md Addendum 2	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 5)	does the Origin object force a unique positive one-step form W... Un-run.
1612	B524_iwip_and_higher_ptolemy	frontier/B524_iwip_and_higher_ptolemy/FINDINGS.md Part 2 table	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 5)	SL(4)... (deferred — the sage Gröbner engine ran >12 min over 20 coords × 3 obstruction classes; the ptolemy module recommends Magma at this rank)
1613	B526_crossing_package	the uploaded package's own executive conclusion, quoted in frontier/B526_crossing_package/FINDINGS.md	LEAD	CONSISTENT		There is no remaining purely internal path from the Origin Axiom corpus to an undeniable claim about nature.
1614	B527_metric_cone	"frontier/B527_metric_cone/FINDINGS.md ""Honest status of the metric question"" table"	LEAD	CONSISTENT		no theorem says why physical reality must choose that ray
1615	B528_dgg_gauge_resolved	frontier/B528_dgg_gauge_resolved/FINDINGS.md	LEAD	CONSISTENT		There is NO U(2)@K=3 or U(3)@K=4 — no U(N-1) nonabelian gauge ladder.
1616	B528_dgg_gauge_resolved	cross-reference, frontier/B523_verdict_reexamination/FINDINGS.md, load-bearing to B528's own Part 1 predecessor B524	LEAD	CONSISTENT		the word-hyperbolic / atoroidal / CAT(0) / Menger-boundary consequences follow ONLY IF iwip holds
1618	B530_natural_history	FINDINGS.md movement XXXI (handoff verification, item 1)	UNSWEEPABLE	CONSISTENT	B8111 later agrees (bronze has no matched group; 13 occurs nowhere)	√13 was never structural
1619	B530_natural_history	FINDINGS.md movement XXXVII	LEAD	CONSISTENT		No nonzero stationary one-bit additive functional exists (ker(M^T−I) = 0 over F2).
1620	B530_natural_history	FINDINGS.md movement XXX / XXV	LEAD	CONSISTENT		the specific κ₃ *value* is signal-normalisation-dependent and did not reproduce
1621	B530_natural_history	FINDINGS.md movement XVIII	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 5)	the exact boundary dimension via the contact/boundary substitution matrix (Siegel–Thuswaldner)... that certificate is flagged, not computed here
1622	B530_natural_history	"PORTRAIT.md, ""What remains"""	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 5)	The exact boundary dimension (Siegel–Thuswaldner contact matrix); the End(F4) verb-monoid symmetry... needs train-track machinery, not a matrix check
1623	B530_natural_history	FINDINGS.md movement XXXVIII	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 5)	Strong shift equivalence remains OPEN — requires constructing explicit rectangular matrices R,S with A = RS, M = SR through a finite chain.
1624	B530_natural_history	FINDINGS.md movement XXXII item 3	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 5)	"the mixed-chain gap-opening: the handoff states ""slopes determined by the Perron vector's projection"" as a prediction; these slopes are NOT computed in the handoff."
1625	B530_natural_history	FINDINGS.md movement XXXIII item 6	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 5)	Exact closed-form slopes. The converged values 0.184 and 0.153 have no identified algebraic expression.
1627	B530_natural_history	packet manifest (arcs_028.json) vs. repository layout — /home/user/origin-axiom/tests/test_b530.py exists but is centralized outside the arc directory	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 5)	no test file test_b530.py is listed among the arc's own committed files
1628	B532_last_echo	frontier/B532_last_echo/FINDINGS.md line 33 (also GRAMMAR.md line 119)	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 5)	Period-3 is ABSENT from the spectrum.
1630	B532_last_echo	frontier/B532_last_echo/GRAMMAR.md line 131	LEAD	CONSISTENT	B240 is about integrality, not the tr(b)=1/phi fixed point	Chat1's golden FP (tr(b) = 1/φ, κ = 1): NOT FOUND after 3100 seeds. Status: UNVERIFIED.
1632	B532_last_echo	frontier/B532_last_echo/FINDINGS.md line 219	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 5)	Core hierarchy: 5 different polynomials for bigrams | NOT REPRODUCED — all 7 bigrams give the quartic under return-word induction
1634	B532_last_echo	frontier/B532_last_echo/FINDINGS.md line 221	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 5)	Anomalous sector (abA) has charpoly x⁴-3x³-8x²-7x-2 | WRONG — charpoly = the standard quartic, disc = -400
1635	B532_last_echo	frontier/B532_last_echo/FINDINGS.md line 222	LEAD	CONSISTENT		Return number = alphabet size (Law 1) | PARTIALLY WRONG — aA has 5 return words
1636	B532_last_echo	"PROGRESS_LOG.md 2026-07-12 entry ""B532-I5: bigram core hierarchy + character census"" (per log_index B532.txt line 43)"	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 5)	The Bigram core hierarchy (return-word induction). The cross-seat claim of 4 distinct core polynomials at the bigram level CANNOT BE REPRODUCED.
1638	B537_classical_phantom	frontier/B537_classical_phantom/FINDINGS.md, 'Status update (2026-07-12, B545)'	LEAD	CONSISTENT		That claim is NOT in this record and is UNVERIFIED here: a direct witness search (entries ≤ 20) plus this file's companion scans find no realization.
1640	B548_unhideable_census	frontier/B548_unhideable_census/FINDINGS.md, 'Honest consequence'	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 5)	a HIDEABLE substitution (many surviving languages, needing an external prior) is the thing to hunt, and it did not appear in this small census
1641	B555_the_prediction	THE_PREDICTION.md 'What we CANNOT predict'	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 5)	SM coupling constants, mass ratios, mixing angles -- proven null (B533/B539/B541).
1642	B555_the_prediction	THE_PREDICTION.md 'What we CANNOT predict'	LEAD	CONSISTENT		Absolute scale (B532: ABSENT).
1643	B556_escalator_tower	FINDINGS.md 'Tower-probe campaign -- the tower exits the fusion/CFT world at rung 1' (P-A)	LEAD	CONSISTENT		no fusion category of ANY rank has an object of dimension lambda_1 ... exhaustive rank-4 ring search (92 charpoly-matching candidates, 0 fusion rings)
1645	B557_escalator_campaign	FINDINGS.md 'What never ran'	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 5)	E0, the lit-gate that gates the whole campaign's novelty language ... queued behind other searches and never executed.
1646	B557_escalator_campaign	FINDINGS.md 'What never ran'	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 5)	Also unrun: the saturation cells above rung 1, and the firewalled physics-ladder cell.
1647	B557_escalator_campaign	PROGRESS_LOG.md 2026-07-30 B837 entry	LEAD	CONSISTENT		"B557 (cited in B556 only as an EXPECTATION, ""Expected: charpoly degrees..."", not a result)"
1648	B558_three_level_negative	FINDINGS.md 'The three-level negative -- CONFIRMED'	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 5)	The SM's numbers are not in the architecture at any algebraic level (Q, Q(phi), transcendental spectrum).
1649	B558_three_level_negative	FINDINGS.md 'Finding #4'	LEAD	CONSISTENT		17 = 17 is a numerical coincidence until a bijection is exhibited.
1650	B559_blackhole_probes	FINDINGS.md Probe 1 'Result'	LEAD	CONSISTENT	B1009 restates	The black-hole area-law signature is ABSENT.
1651	B560_crossseat_campaign	CELL3_FIXED_CHARACTER_ATLAS_FINDINGS.md 'Executive result' / 'Completeness blocker'	LEAD	CONSISTENT		"The recovered picture is a large finite-looking field of rigid interaction states ... The global statement ""there are exactly 253"" remains open because no exact degree or intersection-number upper bound has been established."
1652	B560_crossseat_campaign	OBSERVER_FIXED_POINT_CERTIFICATE.md 'Golden-trace reproduction test' / 'What was actually available'	LEAD	CONSISTENT		The quoted golden tuple therefore does not behave like a fixed representation ... The quoted point ... nor the claimed rank-18 certificate [was found in the repository].
1654	B560_crossseat_campaign	CELL1C_DEFECT_KINEMATICS_FINDINGS.md 'Neutral pair creation and annihilation exist'	LEAD	CONSISTENT		The inverse pair 5+6 was not observed through length 500.
1655	B560_crossseat_campaign	CELL1_CHARGE_TRANSPORT_FINDINGS.md section 6 'Interpretation boundary'	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 5)	identification with electric, color, weak, baryon, or lepton charge; a Noether origin; a local gauge field; dynamical charge carriers; nontrivial clock action on the charge [are not established].
1657	B560_crossseat_campaign	Each cell's *_FINDINGS.md 'Repository baseline'/'synchronization' section	LEAD	NOISE	a baseline statement, not an absence claim	No repository files were modified [in every cell's baseline section].
1658	B561_l50_crux	FINDINGS.md point 1	LEAD	CONSISTENT		No order-3 structure exists in the F4 deformation grading.
1660	B561_l50_crux	Addendum (Klein-four)	LEAD	CONSISTENT		The premise fails ... gamma does not act on the theta-even H1
1661	B562_probation_campaign	RESULTS.md, P12	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 5)	no exceptional-group 3d-3d state integral exists (4 queries; exceptional groups appear only as flavor/gauge of N=2 quivers). Register; arXiv full-text browse before hardening to tombstone
1662	B562_probation_campaign	RESULTS.md, P21	LEAD	CONSISTENT		no external SM/GR framework survives all the object's signatures
1664	B564_sl3_phi_fixed_reducible	FINDINGS.md point 3 (generic mu, mu=omega, unipotent c=3 strata)	LEAD	GENERIC		no φ-fixed representation at all
1667	B565_gauge_behavior_campaign	RESULTS.md T6	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 5)	no order-11 anywhere ... the ℤ/11 charge cannot even act on the octonion arithmetic
1676	B569_complete_chain	FINDINGS.md Link 4(c)	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 5)	"the θ-even ℂ² carries no F₄ action — the smallest faithful F₄ rep is 26. Labeling the 2-dim block ""the compact F₄ sector"" is a category error."
1680	B570_allowed_plays	log entry, Review 16	LEAD	CONSISTENT		no monodromy prefers 27 over 27bar
1681	B570_allowed_plays	RESULTS.md, Lane C section	LEAD	CONSISTENT		C5+Q-C — QUARANTINED (verifier kill of the conclusion, upheld) ... Q-C ... remains OPEN.
1682	B571_day0_internalization	REPORT.md item A1	LEAD	STANDS	no tests/test_b507*.py on any head (checked all 7 remote heads)	B507 has no test lock at all (no tests/test_b507*.py)
1683	B571_day0_internalization	REPORT.md item A2 (Kubota-Leopoldt claim)	LEAD	CONSISTENT	B578 D5 retracts the Kubota-Leopoldt claim; no interpolation values computed anywhere later (B911/B972 carry no Kubota)	with zero computation of the standard interpolation values anywhere in the repo, no test, no CLAIMS/THEOREM_REGISTRY entry
1684	B571_day0_internalization	REPORT.md item A3 (B54 twin quadratics)	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 5)	Grep confirms zero cross-references between the two literatures anywhere in the repo.
1685	B571_day0_internalization	REPORT.md item B1	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 5)	e3's CRT reconstruction stopped mid-run ... Reviews 9-13 never mention it again
1690	B573_global_bridge	FINDINGS.md, 'The record, corrected first' (re: the handoff's claim that Fox calculus verified H1=6 'tonight')	LEAD	GENERIC		No such verification happened.
1693	B574_offprincipal	FINDINGS.md 'The crux is false'	LEAD	CONSISTENT	later so(10) work (B1092 spinor verification, B1098, B8071) exhibits no such orbit	No nonzero nilpotent orbit of E6 has reductive centralizer Spin(10).
1694	B574_offprincipal	"FINDINGS.md '""Nearby points with minimal meridian"": impossible'"	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 5)	its candidate points are either nonexistent (near the geometric point) or vector-like (the factored ones)
1696	B575_bridge_obstruction	frontier/B575_bridge_obstruction/FINDINGS.md:60	LEAD	CONSISTENT		higher (Massey) obstructions are not computed here
1697	B577_reconciliation	frontier/B577_reconciliation/FINDINGS.md 'The failure mode (new — not B571's)'	LEAD	CONSISTENT		the Recurrence Atlas — built for exactly this — was never queried.
1698	B578_debt_clearing	frontier/B578_debt_clearing/D5_KUBOTA_RETRACTION.md:7	LEAD	CONSISTENT		"the tower measure IS the known Kubota–Leopoldt 3-adic L-function"" — asserted, never computed."
1699	B578_debt_clearing	frontier/B578_debt_clearing/LEDGER_RAW.md:66	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 5)	"verifier confirmed by exhaustive grep that no B578-D5 or ""kubota"" sub-cell exists anywhere in the repo"
1701	B578_debt_clearing	frontier/B578_debt_clearing/LEDGER_RAW.md:56	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 5)	the generating script no longer exists, and the available evidence... points instead to a plain under-determined rational CRT reconstruction
1702	B578_debt_clearing	frontier/B578_debt_clearing/LEDGER_RAW.md:40	LEAD	CONSISTENT		no in-repo theorem maps γ onto g_M
1703	B579_session_handoff	frontier/B579_session_handoff/FINDINGS.md 'The data scan'	LEAD	CONSISTENT		α_s(M_Z) = 1/(2φ³) (0.04σ observed; five derivation attempts failed — the handoff's own honest verdict: observed coincidence, not a prediction)
1704	B579_session_handoff	frontier/B579_session_handoff/FINDINGS.md 'The data scan'	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 5)	no log-periodic golden-ratio modulation in Planck 2018 TT residuals against proper ΛCDM (SNR −0.7; the initial 7× excess was a smoothing artifact, honestly killed)
1705	B580_chord_program	frontier/B580_chord_program/ROUND1_TRANSCRIPT.md:42	LEAD	CONSISTENT		H129 (sin²θ₁₃ = 1/φ⁸ ≈ 0.0213): DOES NOT APPEAR — KILLED in this channel... no φ-power structure exists anywhere in the computed data.
1706	B580_chord_program	frontier/B580_chord_program/ROUND1_TRANSCRIPT.md '2. THE COMPARISON'	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 5)	H128 ... DOES NOT APPEAR — KILLED in this channel. No golden-ratio quantity occurs anywhere in the traverse's unforced numbers
1707	B580_chord_program	frontier/B580_chord_program/ROUND1_TRANSCRIPT.md 'CTRL'	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 5)	5₂ is not fibered (non-monic Alexander polynomial, two independent methods)
1708	B581_six_torsions	frontier/B581_six_torsions/FINDINGS.md 'The comparison phase'	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 5)	The other listed jewel numbers (2/3, 15/169, the golden and D4 and zeta9 polynomials) do NOT appear as factors or values
1709	B582_chiral_play	/home/user/origin-axiom/PROGRESS_LOG.md:4093 (2026-07-15 entry, self-correction referencing B582)	LEAD	SUPERSEDED	"B598 FINDINGS l.281: ""STEP 7 COMPLETE (2026-07-15): G1-FINITE -- the dial map re-derived in-repo; the B582 hole closed"""	the G1 dial map whose code was NEVER COMMITTED
1710	B583_chiral_content	frontier/B578_debt_clearing/LEDGER_RAW.md (cross-referenced D2, not B583 itself -- see B578 arc)	LEAD	CONSISTENT		no map is ever constructed from the B469... object into the structure θ and σ actually act on
1712	B583_chiral_content	frontier/B583_chiral_content/READING_RAW.md 'X2'	LEAD	CONSISTENT		'14Vol/π is transcendental' was asserted from a PSLQ null plus a failed nsimplify. What was computed is 'no rational·π relation found by PSLQ to 60 digits.'
1713	B585_listener_law	frontier/B585_listener_law/FINDINGS.md 'K1'	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 5)	LAW-E (the even channel) FAILED its hold-out (κ=17 predicted 0, measured +1; κ=18 predicted −1, measured 0). The even channel's law is OPEN
1715	B586_round3_handoff	frontier/B586_round3_handoff/FINDINGS.md 'Blind result 2'	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 5)	the −1/φ check found NOTHING on E₆₂ — not among the per-pair amplitudes, not among their ratios.
1716	B586_round3_handoff	frontier/B586_round3_handoff/FINDINGS.md 'R3-A'	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 5)	the proposed sign-law/torsion comparison is not a defined computation
1717	B587_weil_mechanism	frontier/B587_weil_mechanism/FINDINGS.md 'Residuals'	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 5)	The general-word / general-N reach (L24(c) proper) stays open beyond SU(3).
1718	B589_pair_amplitudes	frontier/B589_pair_amplitudes/FINDINGS.md 'What grades them'	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 5)	the phase exponents {3, −2, −1}/14 do NOT match the T-phases (h − c/24 mod 1 = {13, 73, 61}/84) — the phases are not the conformal weights; their grading remains a residual
1721	B590_revival_remainders	frontier/B590_revival_remainders/FINDINGS.md 'With the pipeline working'	LEAD	CONSISTENT		Whether the m=1 escapes are a genuine property of these off-sublocus fixed points or a further pipeline defect is not determined here, and the m=3 question the cell was written to answer remains open.
1722	B592_mirror_listener	FINDINGS.md line 3-4 / PREREGISTRATION.md lines 6-11	LEAD	CONSISTENT		the original R3M_PREREG_FOR_CC.md never reached this seat; the reconstruction is frozen in PREREGISTRATION.md
1723	B592_mirror_listener	FINDINGS.md 'Method gaps (disclosed)' section	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 5)	The 8-channel amplitude (adjoint color of 4_1) and J_6(5_2) were not computed (no banked formulas; the R-matrix route needs the 6's R-matrix or cabling)
1724	B592_mirror_listener	PREREGISTRATION.md MB13 section, last line	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 5)	nothing banked computes the CUT-OPEN pairing — this is the new measurement
1726	B594_e6_hearing	PREREGISTRATION.md MB13, last line	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py, part 5)	Nothing rediscovered; the E6_2 law itself is uncomputed anywhere.
