idx	arc	where	terms	hits	top	quote
248	B796_coupling_campaign	THE_LOSS_LEDGER.md:87-93 (L8)	branch-only certification certified certify	main=5,all=36	docs/OPEN_LEADS.md ; f/B921_branch_harvest/HARVEST_MANIFEST.md ; f/B921_branch_harvest/harvested/f/B796_coupling_campaign/loss_audit/THE_LOSS_LEDGER.md ; f/B921_branch_harvest/harvested/f/B796_coupling_campaign/loss_audit/loss_aud	certify_mode_count.py (the certification every "certified" claim rests on)... [is] branch-only
249	B796_coupling_campaign	THE_LOSS_LEDGER.md:100-102 (L9)	single-occurrence b878 datasets received	main=1,all=8	f/B921_branch_harvest/harvested/f/B796_coupling_campaign/loss_audit/THE_LOSS_LEDGER.md ; f/B796_coupling_campaign/loss_audit/THE_LOSS_LEDGER.md	B878 banked my relay's datasets and dropped its section 4.5 open items... all now single-occurrence strings in RELAY_AS_RECEIVED.md
250	B796_coupling_campaign	THE_LOSS_LEDGER.md:109-110 (L10)	b8xx b9xx registry ledger	main=7,all=52	docs/OPEN_LEADS.md ; docs/STRUCTURE_TO_NATURE_MASTERPLAN.md ; docs/THEOREM_REGISTRY.md ; f/B920_register_sweep/SWEEP_REPORT.md ; f/B921_branch_harvest/HARVEST_MANIFEST.md	THEOREM_REGISTRY/THEOREM_LEDGER carry ZERO B8xx/B9xx rows
251	B796_coupling_campaign	THE_LOSS_LEDGER.md:116-117 (L10)	register anywhere born	main=51,all=328	CHANGELOG.md ; PROGRESS_LOG.md ; docs/CAMPAIGN_STATUS.md ; docs/HINT_LEDGER.md ; docs/LAW_MAP.md ; DEL:docs/REVIEWS.md ; DEL:docs/PROGRESS_LOG.md	Born content has NO register row anywhere
252	B796_coupling_campaign	THE_LOSS_LEDGER.md:122-123 (L11)	b845 unshipped finished spectral	main=9,all=49	CHANGELOG.md ; PROGRESS_LOG.md ; f/B845_spectral_inventory/FINDINGS.md ; f/B921_branch_harvest/harvested/f/B796_coupling_campaign/loss_audit/THE_LOSS_LEDGER.md ; f/B921_branch_harvest/harvested/f/B796_coupling_campaign/loss_audit/	B845 proved the "finished and unshipped" spectral paper never existed
253	B796_coupling_campaign	FINDINGS.md:5 (self-scoping, not a repo 	measurement compared enters data	main=28,all=180	CHANGELOG.md ; PROGRESS_LOG.md ; docs/CAMPAIGN_STATUS.md ; docs/INPUT_COMPLETENESS_LEDGER.md ; docs/OPEN_LEADS.md ; DEL:docs/REVIEWS.md	No measurement enters and nothing is compared to data
254	B796_coupling_campaign	FINDINGS.md:114-115	f1-f4 monopole observed tested	main=0,all=1	f/B796_coupling_campaign/z6_line_spectrum/z6_lines.py	No monopole has been observed. None of F1-F4 is currently tested.
255	B796_coupling_campaign	FINDINGS.md:127-129	framework predicted monopole objects	main=6,all=39	CHANGELOG.md ; PROGRESS_LOG.md ; docs/HINT_LEDGER.md ; docs/views/VERDICT_LEDGER.md ; docs/CAMPAIGN_STATUS.md	the framework supplies no mass scale for these objects... no monopole mass is predicted and none can be
256	B797_maass_spectrum_harvest	FINDINGS.md:12	m004 eigenvalues literature seventeen	main=13,all=86	CHANGELOG.md ; PROGRESS_LOG.md ; docs/CAMPAIGN_STATUS.md ; docs/progress/REVIEWS.md ; docs/views/VERDICT_LEDGER.md	The literature has no Maass eigenvalues for m004; there are now seventeen.
257	B797_maass_spectrum_harvest	B797.txt (Review 36 entry, quoting PROGR	eigenvalues certifies carried final	main=15,all=98	CHANGELOG.md ; PROGRESS_LOG.md ; docs/MASTERPLAN.md ; docs/OPEN_LEADS.md ; docs/progress/REVIEWS.md ; DEL:docs/REVIEWS.md ; DEL:docs/PROGRESS_LOG.md	eigenvalues_final.json carried 6 of the 17 its own table certifies
258	B799_uncomputed_doors	FINDINGS.md:93	rewritten original graph place	main=16,all=99	CHANGELOG.md ; PROGRESS_LOG.md ; docs/OPEN_LEADS.md ; docs/progress/PROGRESS_2026-Q2.md ; docs/views/VERDICT_LEDGER.md	The original kill_graph.json is not rewritten in place
259	B799_uncomputed_doors	FINDINGS.md:86-87 (S019 disposition)	discriminating formulated because fact	main=3,all=21	CHANGELOG.md ; docs/SEAL_LEDGER.md ; f/B775_phase2_wave1/wave2_results.json	no discriminating fact was ever computed because none was ever formulated
260	B800_habiro_integrality	B799 FINDINGS.md:78, referencing the doo	in-sandbox recomputation habiro	main=22,all=139	CHANGELOG.md ; PROGRESS_LOG.md ; docs/CAMPAIGN_STATUS.md ; docs/OPEN_LEADS.md ; docs/views/VERDICT_LEDGER.md	An in-sandbox Habiro recomputation was not attempted here
261	B801_negative_census	FINDINGS.md:37	two-thirds roughly census graph	main=4,all=28	CHANGELOG.md ; PROGRESS_LOG.md ; docs/views/VERDICT_LEDGER.md ; f/B738_pathfinder_compiler/kill_graph.json	kill_graph's 217 is not a census -- it is roughly two-thirds of one
262	B803_commensurability_audit	FINDINGS.md:71	genuinely question absent corpus	main=61,all=354	CHANGELOG.md ; PROGRESS_LOG.md ; docs/BANKING_PROTOCOL.md ; docs/CAMPAIGN_STATUS.md ; docs/LAW_MAP.md ; DEL:docs/REVIEWS.md ; DEL:docs/PROGRESS_LOG.md	DKY's paper and its Question 1.7 are genuinely absent [from the corpus]
263	B804_dirac_spectrum	FINDINGS.md:64	eigenvalues machinery need	main=100,all=669	CHANGELOG.md ; PROGRESS_LOG.md ; docs/CAMPAIGN_STATUS.md ; docs/HINT_LEDGER.md ; docs/LEAD_REGISTER.md ; DEL:docs/REVIEWS.md ; DEL:docs/PROGRESS_LOG.md ; DEL:f/B775_phase2_wave1/cells/_verify_Z1/compute.py	the eigenvalues need machinery that does not exist in this repository
264	B805_forcing_graph	FINDINGS.md:9	closure static arrows marked	main=6,all=37	CHANGELOG.md ; PROGRESS_LOG.md ; docs/views/VERDICT_LEDGER.md ; docs/OPEN_LEADS.md ; f/B1068_descent_inventory/w2_full_results.json	916 words of static prose: 15 nodes, 15 arrows, and zero edges marked PROVEN/KNOWN/OPEN. Nothing computed its closure.
265	B805_forcing_graph	FINDINGS.md:41	citation forcing	main=97,all=620	CHANGELOG.md ; PROGRESS_LOG.md ; docs/BANKING_PROTOCOL.md ; docs/CAMPAIGN_STATUS.md ; docs/HINT_LEDGER.md ; DEL:docs/REVIEWS.md	A citation is not a forcing.
266	B806_lexicon_blindness	FINDINGS.md table	matching probes motifs zero	main=11,all=75	CHANGELOG.md ; PROGRESS_LOG.md ; docs/CAMPAIGN_STATUS.md ; docs/LAW_MAP.md ; docs/SEAL_LEDGER.md	probes matching zero motifs: 19
267	B806_lexicon_blindness	FINDINGS.md:155	overlap eleven faces atlas	main=17,all=107	CHANGELOG.md ; PROGRESS_LOG.md ; docs/CAMPAIGN_STATUS.md ; docs/OPEN_LEADS.md ; docs/progress/REVIEWS.md	Not one of the eleven faces is an atlas motif [zero overlap]
268	B806_lexicon_blindness	A	eigenvalue applicable dirac	main=7,all=51	CHANGELOG.md ; PROGRESS_LOG.md ; docs/CAMPAIGN_STATUS.md ; docs/HINT_LEDGER.md ; docs/OPEN_LEADS.md	No Dirac eigenvalue [not applicable here]
269	B808_empty_cells	FINDINGS.md:39	motif plane real gaps	main=9,all=63	CHANGELOG.md ; PROGRESS_LOG.md ; docs/OPEN_LEADS.md ; docs/progress/REVIEWS.md ; docs/views/VERDICT_LEDGER.md	There are no real gaps in the (face, motif) plane. None.
270	B809_kappa_gate	FINDINGS.md:6	measured disagree itself	main=52,all=355	CHANGELOG.md ; PROGRESS_LOG.md ; docs/CAMPAIGN_STATUS.md ; docs/PRACTICES.md ; docs/SEAL_LEDGER.md ; DEL:docs/PROGRESS_LOG.md	It was never measured -- cc is one seat and cannot disagree with itself.
271	B810_verdict_wave1	FINDINGS.md:90	non-existent transcription throughout correct	main=3,all=16	CHANGELOG.md ; docs/views/VERDICT_LEDGER.md ; f/B1068_descent_inventory/w2_full_results.json ; docs/LAW_MAP.md	the six non-existent IDs came from cc's transcription; the pool file on disk was correct throughout
272	B810_verdict_wave1	FINDINGS.md:53-55	disputes vacuity pattern session	main=4,all=21	CHANGELOG.md ; PROGRESS_LOG.md ; docs/views/VERDICT_LEDGER.md ; papers/P3_THE_PAPER/CLAIM_CANDIDATES.md	The sample was not random...An audit that disputes nothing is the vacuity pattern this session has now flagged three times
273	B812_physics_path_map	FINDINGS.md:93	impossibility dictionary majority targets	main=3,all=21	CHANGELOG.md ; PROGRESS_LOG.md ; docs/views/VERDICT_LEDGER.md	No path exists today, and for the majority of targets the blocker is the absent typed dictionary (L91), not a proved impossibility.
274	B812_physics_path_map	FINDINGS.md:47	registered covers theta lead	main=39,all=254	CHANGELOG.md ; CLAIMS.md ; PROGRESS_LOG.md ; docs/LEAD_REGISTER.md ; docs/OPEN_LEADS.md ; DEL:docs/PROGRESS_LOG.md	no registered lead at all covers a CS -> theta_QCD map
275	B813_cs_theta_type_audit	FINDINGS.md:82-83	hyperbolic searches surfaced manifold	main=12,all=77	CHANGELOG.md ; PROGRESS_LOG.md ; docs/NOVELTY_AUDIT.md ; docs/OPEN_LEADS.md ; docs/views/VERDICT_LEDGER.md	the searches surfaced no work placing gauge theory on a hyperbolic 3-manifold slice in a way that ties theta to the slice's geometry
276	B815_kappa_precision_note	PRE_DATA_NOTE.md:2	wave-2 committed workflow written	main=9,all=61	CHANGELOG.md ; PROGRESS_LOG.md ; docs/OPEN_LEADS.md ; docs/SEAL_LEDGER.md ; docs/progress/REVIEWS.md ; DEL:docs/REVIEWS.md ; DEL:docs/PROGRESS_LOG.md	written and committed while the wave-2 workflow is still running and no rating has been seen
277	B817_verdict_wave2	FINDINGS.md:106, with in-place correctio	unassigned corrected verdict carry	main=5,all=27	CHANGELOG.md ; PROGRESS_LOG.md ; f/B770_closure_census/CENSUS.md ; docs/views/VERDICT_LEDGER.md ; papers/P3_THE_PAPER/CLAIM_CANDIDATES.md ; DEL:docs/PROGRESS_LOG.md	130 arcs still carry no verdict [later corrected: 133 have FINDINGS.md, 116 unassigned]
278	B819_frame_gap	FINDINGS.md:16	wanting judged carry found	main=2,all=14	CHANGELOG.md ; PROGRESS_LOG.md ; DEL:docs/PROGRESS_LOG.md	116 arcs carry real findings that no reader was ever given. They were not judged and found wanting; they were never in the frame.
279	B821_lexicon_refresh	FINDINGS.md:60	twenty-one lexicon real	main=4,all=28	CHANGELOG.md ; PROGRESS_LOG.md ; docs/progress/REVIEWS.md ; tests/test_b821_lexicon_refresh.py ; DEL:docs/PROGRESS_LOG.md	the real lexicon gap is one arc, not twenty-one
280	B826_b519_verdict	FINDINGS.md:8 (re B519_re_mining)	carried verdict	main=438,all=2673	CHANGELOG.md ; GOVERNANCE.md ; PROGRESS_LOG.md ; docs/CAMPAIGN_STATUS.md ; docs/CLOSURE_MASTERPLAN.md ; DEL:docs/REVIEWS.md ; DEL:docs/PROGRESS_LOG.md ; DEL:f/B1024_l153_bits/WORK_IN_PROGRESS.md	carried no verdict at all
281	B827_progresslog_recovery	FINDINGS.md:13	roll-off canonical	main=3,all=21	CHANGELOG.md ; PROGRESS_LOG.md ; scripts/gates/gates.py	of those, present in the canonical log or the Q2 roll-off | 0
282	B830_b720_recompute	FINDINGS.md:22-23	b720 different asserted literals	main=6,all=43	CHANGELOG.md ; PROGRESS_LOG.md ; docs/OPEN_LEADS.md ; docs/SEAL_LEDGER.md ; docs/progress/REVIEWS.md	B720's only lock asserted three string literals were distinct — it verified that three different strings had been typed
283	B830_b720_recompute	FINDINGS.md:73-75	b827 authoritative consequently duplicated	main=3,all=20	CHANGELOG.md ; PROGRESS_LOG.md ; docs/progress/REVIEWS.md	Consequently the "four duplicated authoritative filenames" claim in B827 is wrong. The true count is two
284	B837_file_drawer_audit	FINDINGS.md:24	b590 unreported literally admission	main=3,all=18	CHANGELOG.md ; PROGRESS_LOG.md ; docs/views/VERDICT_LEDGER.md	B590's citation literally reads "(bank pending — B590 paused by owner)" — an admission that it is unreported
285	B837_file_drawer_audit	FINDINGS.md:36	b499 anywhere stated	main=6,all=47	CHANGELOG.md ; PROGRESS_LOG.md ; docs/SEAL_LEDGER.md ; docs/views/VERDICT_LEDGER.md ; f/B499_wild_census/FINDINGS.md	no result for B499 is stated anywhere
286	B839_b685_residue	FINDINGS.md:60	b685 literature residue rather	main=27,all=172	CHANGELOG.md ; PROGRESS_LOG.md ; docs/CAMPAIGN_STATUS.md ; docs/LAW_MAP.md ; docs/OPEN_LEADS.md ; DEL:docs/PROGRESS_LOG.md	B685.fact_computed stays FALSE — but its residue is now one literature line rather than a whole computation
287	B839_b685_residue	FINDINGS.md:57	normalisation remains cited gswz	main=10,all=70	CHANGELOG.md ; PROGRESS_LOG.md ; docs/CAMPAIGN_STATUS.md ; docs/LAW_MAP.md ; docs/OPEN_LEADS.md	GSWZ eq. (2) uses this normalisation" remains cited, not read
288	B840_close_loose_ends	FINDINGS.md:13	printing verdict sealed seeds	main=4,all=23	CHANGELOG.md ; PROGRESS_LOG.md ; docs/SEAL_LEDGER.md ; docs/views/VERDICT_LEDGER.md	R1 was printing SEALED at m=3 on both seeds — and the verdict was empty
289	B840_close_loose_ends	FINDINGS.md:51 (re B499)	directory prereg holds else	main=27,all=182	CHANGELOG.md ; PROGRESS_LOG.md ; docs/ERROR_LEDGER.md ; docs/OPEN_LEADS.md ; docs/progress/REVIEWS.md ; DEL:docs/REVIEWS.md ; DEL:docs/PROGRESS_LOG.md	The directory holds a prereg and nothing else
290	B841_provenance_pass	FINDINGS.md:66	undetermined times used zero	main=15,all=99	CHANGELOG.md ; PROGRESS_LOG.md ; docs/CAMPAIGN_STATUS.md ; docs/HINT_LEDGER.md ; docs/SEAL_LEDGER.md	undetermined ... used zero times
291	B845_spectral_inventory	FINDINGS.md:9	spectral papers holds paper	main=53,all=353	CHANGELOG.md ; CLAIMS.md ; PROGRESS_LOG.md ; README.md ; ROADMAP.md ; DEL:docs/PROGRESS_LOG.md	papers/ holds NO spectral paper at all
292	B845_spectral_inventory	FINDINGS.md:23	b792 merges main	main=14,all=107	CHANGELOG.md ; PROGRESS_LOG.md ; docs/ERROR_LEDGER.md ; docs/LAW_MAP.md ; docs/OPEN_LEADS.md	B792 is not in main. It is cc3's arc, and cc3 never merges
293	B845_spectral_inventory	FINDINGS.md:62	completeness unverified harvest	main=31,all=192	CHANGELOG.md ; PROGRESS_LOG.md ; docs/CAMPAIGN_STATUS.md ; docs/LAW_MAP.md ; docs/OPEN_LEADS.md ; DEL:docs/PROGRESS_LOG.md	Harvest completeness UNVERIFIED
294	B848_handoff_verification	FINDINGS.md:159-162	adjudicated observer reframe	main=20,all=129	CHANGELOG.md ; PROGRESS_LOG.md ; docs/CAMPAIGN_STATUS.md ; docs/HINT_LEDGER.md ; docs/LAW_MAP.md ; DEL:docs/REVIEWS.md	The observer/SSB reframe... is NOT adjudicated here
295	B848_handoff_verification	FINDINGS.md:163	re-derived m004 orbifold	main=36,all=225	CHANGELOG.md ; CLAIMS.md ; PROGRESS_LOG.md ; docs/ERROR_LEDGER.md ; docs/HINT_LEDGER.md ; DEL:docs/PROGRESS_LOG.md	phi_m004 = phi_orbifold was not re-derived
296	B848_handoff_verification	FINDINGS.md:165-167	foliation-algebra euler-jacobi specialist test	main=1,all=7	PROGRESS_LOG.md	Not run: the SL(3) Euler-Jacobi test..., pr=(p+1)(q+1) on V0..., the foliation-algebra type (specialist...)
297	B849_order_parameter	FINDINGS.md:137	eigenvalues geodesic lengths phantom	main=4,all=27	CHANGELOG.md ; PROGRESS_LOG.md ; f/B921_branch_harvest/harvested/f/B796_coupling_campaign/loss_audit/loss_audit_observer_thread.md ; docs/CAMPAIGN_STATUS.md ; f/B796_coupling_campaign/loss_audit/loss_audit_observer_thread.md	the 370 geodesic lengths are not in main, the same phantom pattern as the 43 eigenvalues
298	B849_order_parameter	FINDINGS.md:110	bost-connes identification verify	main=11,all=76	PROGRESS_LOG.md ; docs/LAW_MAP.md ; docs/SEAL_LEDGER.md ; docs/views/VERDICT_LEDGER.md ; f/B738_pathfinder_compiler/kill_graph.json	Does not verify the Bost-Connes/CMR identification
299	B850_length_spectrum_type	FINDINGS.md:137 (carried forward item 3)	eigenvalues geodesic lengths phantom	main=5,all=34	CHANGELOG.md ; PROGRESS_LOG.md ; f/B849_order_parameter/FINDINGS.md ; f/B921_branch_harvest/harvested/f/B796_coupling_campaign/loss_audit/loss_audit_observer_thread.md ; docs/CAMPAIGN_STATUS.md	the 370 geodesic lengths are not in main, the same phantom pattern as the 43 eigenvalues
300	B850_length_spectrum_type	FINDINGS.md:149-150	conditional reduction state cited	main=80,all=488	CHANGELOG.md ; CLAIMS.md ; PROGRESS_LOG.md ; docs/CAMPAIGN_STATUS.md ; docs/HINT_LEDGER.md ; DEL:docs/PROGRESS_LOG.md	Does not state the type as computed. CONDITIONAL on a cited reduction
301	B851_bc_litgate	FINDINGS.md:87-88	programme question system open	main=60,all=419	CHANGELOG.md ; PROGRESS_LOG.md ; README.md ; ROADMAP.md ; TERMINOLOGY.md ; DEL:docs/PROGRESS_LOG.md	It does not show the programme's system is CMR's. That is now the open question
302	B851_bc_litgate	FINDINGS.md:43-44	conjugation complex string occurs	main=20,all=120	CHANGELOG.md ; PROGRESS_LOG.md ; docs/OPEN_LEADS.md ; docs/progress/PROGRESS_2026-Q2.md ; docs/views/VERDICT_LEDGER.md	the string 'complex conjugation' occurs zero times in the CMR paper
303	B852_parabolic_pressure	FINDINGS.md:92-96	continued-fraction cross-section m004 transition	main=5,all=34	CHANGELOG.md ; PROGRESS_LOG.md ; docs/LAW_MAP.md ; f/B738_pathfinder_compiler/kill_graph.json ; f/B1067_rayclass_harvest/w1_results.json	It does NOT show m004's transition is at s=1, or at the programme's beta=1/s=2... m004's actual cross-section requires a complex continued-fraction algorithm over Z[omega]... which is a real build and
304	B852_parabolic_pressure	FINDINGS.md:97-100	genericity parabolic tested model	main=17,all=114	CHANGELOG.md ; PROGRESS_LOG.md ; docs/CAMPAIGN_STATUS.md ; docs/LAW_MAP.md ; docs/OPEN_LEADS.md	It does not establish genericity either way. One parabolic model was tested
305	B853_two_faces_ssb	FINDINGS.md:107-108	transition connection potential verified	main=19,all=122	CHANGELOG.md ; PROGRESS_LOG.md ; docs/CAMPAIGN_STATUS.md ; docs/HINT_LEDGER.md ; docs/LAW_MAP.md	NOT verified: that B6's potential is the free energy of any KMS transition (the relay's own document says 'connection unbuilt')
306	B853_two_faces_ssb	FINDINGS.md:109-110	searched distinct evidence occurs	main=15,all=88	CHANGELOG.md ; PROGRESS_LOG.md ; docs/views/VERDICT_LEDGER.md ; f/B738_pathfinder_compiler/kill_graph.json ; f/B770_closure_census/census.json	that trace 3 never occurs in Gamma_41 (searched words <=7, 82 distinct traces...) -- evidence, not proof
307	B855_wrong_null_audit	FINDINGS.md line 33	non-commensurable registered null	main=7,all=47	CHANGELOG.md ; PROGRESS_LOG.md ; docs/OPEN_LEADS.md ; docs/RETRACTIONS.md ; docs/THE_LADDER.md	the repo has no registered null non-commensurable with both.
308	B855_wrong_null_audit	FINDINGS.md line 100	essentially programme specific control	main=16,all=106	CHANGELOG.md ; PROGRESS_LOG.md ; docs/CAMPAIGN_STATUS.md ; docs/LAW_MAP.md ; docs/OPEN_LEADS.md ; DEL:docs/PROGRESS_LOG.md	the programme has never had a valid control, so "generic vs specific" has essentially never been tested.
309	B857_voice_splitting	FINDINGS.md:30 (quoted in FINDINGS.md li	b737 b739 artifacts markers	main=27,all=182	CHANGELOG.md ; PROGRESS_LOG.md ; docs/progress/REVIEWS.md ; docs/views/VERDICT_LEDGER.md ; f/B742_negatives_hunt_p1/reviews/S16_REVIEW_4_VERDICT.md	Grep of the banked voice artifacts (B737/B739): zero golden markers.
310	B857_voice_splitting	LAW_MAP.md (quoted in FINDINGS.md line 9	h-ear continuous silence emitted	main=5,all=31	CHANGELOG.md ; PROGRESS_LOG.md ; f/B857_voice_splitting/FINDINGS.md ; f/B857_voice_splitting/voice_splitting.py ; papers/P3_THE_PAPER/CLAIM_CANDIDATES.md	H-EAR clause (iii) SILENCE states the golden is "NEVER emitted through the object's solo continuous channel."
311	B857_voice_splitting	FINDINGS.md line 55	eigenvalues uncomputed certified different	main=24,all=168	CHANGELOG.md ; PROGRESS_LOG.md ; docs/CAMPAIGN_STATUS.md ; docs/MASTERPLAN.md ; docs/OPEN_PROBLEMS.md	Whether the 17 certified Maass newforms carry golden markers in their Hecke eigenvalues is a different question and remains uncomputed
312	B868_three_involutions	 three_involutions.py check (3)	conjugation anywhere complex scalars	main=19,all=113	CHANGELOG.md ; PROGRESS_LOG.md ; docs/HINT_LEDGER.md ; docs/views/VERDICT_LEDGER.md ; f/B738_pathfinder_compiler/kill_graph.json ; DEL:docs/PROGRESS_LOG.md	no complex conjugation of scalars appears anywhere in the cascade's code
313	B870_lift_obstruction	FINDINGS.md sec 5	distinguished chooses object torsor	main=8,all=42	PROGRESS_LOG.md ; docs/LAW_MAP.md ; f/B738_pathfinder_compiler/kill_graph.json ; docs/CAMPAIGN_STATUS.md ; docs/THE_END_TO_END_CHAIN.md	No claim about which lift the object "chooses": the torsor has no distinguished point here.
314	B871_registering_datum	FINDINGS.md sec 4	contractions refinement realizing remaining	main=3,all=23	CHANGELOG.md ; PROGRESS_LOG.md ; docs/views/VERDICT_LEDGER.md ; documents/PROGRAM_QUESTION_ANSWER_MAP.md ; documents/program-question-map/inventory/backbone.json	realizing the probe inside the SU(3)_2 modular stage's state vectors and contractions ... is the remaining refinement
315	B871_registering_datum	FINDINGS.md sec 4	generation untouched reaches values	main=45,all=275	CHANGELOG.md ; PROGRESS_LOG.md ; docs/GUT_REQUIREMENTS_LEDGER.md ; docs/HINT_LEDGER.md ; docs/LAW_MAP.md ; DEL:docs/PROGRESS_LOG.md	Nothing here reaches values or generation count. Gate 5 untouched.
316	B872_coset_leg	FINDINGS.md sec 6	charge-sign convention matter labels	main=1,all=7	PROGRESS_LOG.md	Nothing about which of 16/16bar is "matter" -- the labels are a charge-sign convention.
317	B872_coset_leg	FINDINGS.md sec 6	exact-q remains queued pass	main=1,all=7	docs/STRUCTURE_TO_NATURE_MASTERPLAN.md	the exact-Q(rho) pass remains the solo seat's queued cell
318	B872_coset_leg	FINDINGS.md sec 6	b866 b875 b876 generations	main=8,all=50	CHANGELOG.md ; PROGRESS_LOG.md ; docs/progress/REVIEWS.md ; docs/views/VERDICT_LEDGER.md ; f/B882_magic_square_naming/arc_verdict.json	the generations reading stays a signature (B866) with a structure (B875); THE DESCENT (B876, queued) is the deciding computation
319	B874_measurement_ladder	FINDINGS.md sec 3	quasi-split layer-8 b715 b868	main=3,all=21	CHANGELOG.md ; PROGRESS_LOG.md ; docs/views/VERDICT_LEDGER.md	no dictionary to color is asserted (the compact/quasi-split gap is exactly the layer-8 wall, B715/B868)
320	B874_measurement_ladder	FINDINGS.md sec 4	real-form layer-8 relation question	main=4,all=28	CHANGELOG.md ; PROGRESS_LOG.md ; docs/STRUCTURE_TO_NATURE_MASTERPLAN.md ; docs/views/VERDICT_LEDGER.md	The su(2,1) remnant's relation to the layer-8 real-form question -- flagged only.
321	B875_triality_tiling	FINDINGS.md sec 4	generations generation structure mechanism	main=132,all=904	CHANGELOG.md ; PROGRESS_LOG.md ; ROADMAP.md ; docs/CAMPAIGN_STATUS.md ; docs/CLOSURE_2026-07-11.md ; DEL:docs/REVIEWS.md	The generation reading -- each breaking's matter = the two foreign sectors -- remains a structure, not a generations mechanism.
322	B875_triality_tiling	FINDINGS.md sec 4	touches values gate	main=112,all=728	AUDIT_REPORT.md ; CHANGELOG.md ; PROGRESS_LOG.md ; docs/CAMPAIGN_STATUS.md ; docs/HINT_LEDGER.md ; DEL:docs/REVIEWS.md	Nothing here touches values or Gate 5.
323	B876_descent	FINDINGS.md sec 5	re-run symmetry galois holds	main=61,all=352	CHANGELOG.md ; PROGRESS_LOG.md ; docs/HINT_LEDGER.md ; docs/LAW_MAP.md ; docs/OPEN_LEADS.md ; DEL:docs/REVIEWS.md ; DEL:docs/PROGRESS_LOG.md	By Galois symmetry the same holds at the other two roots (not re-run; the S3 acts).
324	B877_fmt_review	FINDINGS.md sec 4 item 1	levi2 manifest handoff absent	main=4,all=29	CHANGELOG.md ; PROGRESS_LOG.md ; docs/progress/REVIEWS.md ; docs/views/VERDICT_LEDGER.md ; docs/OPEN_LEADS.md	Manifest gap: SS3 cites levi2.py (core type, exact Q) -- absent from the handoff.
325	B878_maass_upper_window	FINDINGS.md sec 4	sub-leading completeness adopted leading	main=9,all=47	CHANGELOG.md ; docs/HINT_LEDGER.md ; docs/views/VERDICT_LEDGER.md ; f/B738_pathfinder_compiler/kill_graph.json ; docs/THE_FRAMEWORK.md	No completeness claim for the 43 (the branch's own scope limit, adopted: sub-leading Weyl terms are 43-60% of leading below r = 13.5 -- the budget is a screen).
326	B878_maass_upper_window	FINDINGS.md sec 4	cross-table re-run certification consistency	main=1,all=3	f/B738_pathfinder_compiler/kill_graph.json	the arb certification of the 26 upper values is the branch's ... this seat verified the dataset's internal stability, cross-table consistency, and claim arithmetic -- not a re-run of the certification
327	B878_maass_upper_window	branch_FINDINGS.md (r=7.0720 provenance 	transcription previously statement verified	main=13,all=79	CHANGELOG.md ; PROGRESS_LOG.md ; docs/LAW_MAP.md ; docs/progress/REVIEWS.md ; f/B771_phase1_wave1/wave3_results.json	This section previously said "transcription VERIFIED" -- the durable statement is weaker and stated exactly below.
328	B879_selection_cochain	HANDOFF_CC_SELECTION_COCHAIN.md lines 12	reconciliation addendum anywhere checked	main=34,all=194	CHANGELOG.md ; PROGRESS_LOG.md ; docs/CAMPAIGN_STATUS.md ; docs/HINT_LEDGER.md ; docs/LAW_MAP.md ; DEL:docs/REVIEWS.md	cc3's own reconciliation addendum: NONE of the six claims below are banked anywhere under any name (checked by content, not just title).
329	B879_selection_cochain	INVENTORY.md lines 484-495 (Part C, MISS	corollary frontier verifies states	main=24,all=141	CHANGELOG.md ; PROGRESS_LOG.md ; docs/CAMPAIGN_STATUS.md ; docs/LAW_MAP.md ; docs/OPEN_LEADS.md	M1. ... no frontier cell was found that states or verifies this corollary for the R^{n-2}L family explicitly.
330	B879_selection_cochain	INVENTORY.md lines 497-506	b-number dedicated frontier verifies	main=9,all=58	CHANGELOG.md ; PROGRESS_LOG.md ; docs/CAMPAIGN_STATUS.md ; docs/OPEN_LEADS.md ; f/B738_pathfinder_compiler/kill_graph.json	M2. ... No dedicated frontier B-number/FINDINGS.md was found that computes or verifies either filter independently
331	B879_selection_cochain	INVENTORY.md lines 517-526	multi-block family-wide tabulates conductor	main=1,all=7	f/B879_selection_cochain/packet/w0c_inventory/INVENTORY.md	M4. ... No banked cell was found that tabulates conductor primality over general multi-block R/L words as a family-wide sweep
332	B879_selection_cochain	SCOUT.md line 183	repo-wide categorified hochschild quantum	main=2,all=14	f/B879_selection_cochain/packet/w0d_quantum_scout/SCOUT.md ; f/B879_selection_cochain/packet/w0d_quantum_scout/reading_log.md	a repo-wide search for "quantum cochain", "tube algebra", "Hochschild", "categorified Fox" turned up nothing prior to this cell
333	B879_selection_cochain	HANDOFF_CC_SELECTION_COCHAIN.md line 49	amalgam-wall even-solo headline anywhere	main=1,all=7	f/B879_selection_cochain/packet/HANDOFF_CC_SELECTION_COCHAIN.md	C6 GENUINE, the headline. Zero trace of the amalgam-wall/even-solo construction anywhere in the ~180 new entries.
334	B882_magic_square_naming	 not found" claim)	branching-rule single-step branching composite	main=1,all=7	f/B882_magic_square_naming/priorart_findings.json	no direct single-step branching table for E6 subset so(8)+u(1)+u(1) ... was located in any of the three fetched sources ... The direct composite branching ... is not present in any standard branching-
